layer,scale,run,timing_mode,algorithm,budget_mib,latency_ms,capsule
layer0+1,W16,rev,,l01_lbunion_compress,8,10.563,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_compress,16,21.236,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_compress,16,21.189,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_compress,32,46.171,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_compress,32,45.29,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_compress,64,99.57,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_compress,64,100.401,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_hier,1,2.862,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_hier,1,2.914,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_hier,2,4.805,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_hier,2,4.057,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_hier,4,6.865,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_hier,4,6.659,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_hier,8,12.541,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_hier,8,12.475,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_hier,16,24.872,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_hier,16,24.813,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_hier,32,52.023,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_hier,32,51.815,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_hier,64,112.363,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_hier,64,111.747,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_hier_eager,1,3.536,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_lbunion_hier_eager,1,3.082,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_lbunion_hier_eager,2,4.636,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_lbunion_hier_eager,2,4.661,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_lbunion_hier_eager,4,8.005,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_lbunion_hier_eager,4,8.11,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_lbunion_hier_eager,8,15.171,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_lbunion_hier_eager,8,15.099,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_lbunion_hier_eager,16,25.05,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_lbunion_hier_eager,16,24.965,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_lbunion_hier_eager,32,53.883,20260816-203357_perlmutter_5282d34f
layer0+1,W16,rev,,l01_lbunion_hier_eager,32,52.284,20260816-203508_perlmutter_b002806a
layer0+1,W16,fwd,,l01_lbunion_hier_eager,64,113.165,20260816-203357_perlmutter_5282d34f
layer0+1,W16,rev,,l01_lbunion_hier_eager,64,112.82,20260816-203508_perlmutter_b002806a
layer0+1,W16,fwd,,l01_torch,1,4.956,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_torch,1,4.967,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_torch,2,7.495,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_torch,2,7.611,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_torch,4,13.385,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_torch,4,13.178,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_torch,8,24.76,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_torch,8,24.698,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_torch,16,48.328,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_torch,16,47.89,20260816-201738_perlmutter_9bd629be
layer0+1,W8,fwd,,l01_allgather_dense,1,5.062,20260816-190804_perlmutter_300e0b15
layer0+1,W8,rev,,l01_allgather_dense,1,4.91,20260816-193310_perlmutter_bb539138
layer0+1,W8,fwd,,l01_allgather_dense,2,5.726,20260816-190804_perlmutter_300e0b15
layer0+1,W8,rev,,l01_allgather_dense,2,5.675,20260816-193310_perlmutter_bb539138
