nodes,model,row_id,row_label,budget_mib,total_ms,recorded_ms,stat,arm_variant,impl,capsule,cell_id,branch,git_sha,flag
4,K2,ours12_dispatch,1+2 + expert dispatch (re-solve every iteration no expert movement),1,4.748,4.748,iter_max_median,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,ours,20260915-061546,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b1_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=-5.0%
4,K2,ours12_dispatch,1+2 + expert dispatch (re-solve every iteration no expert movement),2,7.448,7.45,iter_max_median,ours_l01_s2_swap_force_p2p_r2,ours,20260829-034208_perlmutter_b1b14aeb,ours_l01_s2_swap_force_p2p_r2_trace-610042_b2_k8_isolated,main,044aaf804,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
4,K2,ours12_dispatch,1+2 + expert dispatch (re-solve every iteration no expert movement),4,6.787,6.787,iter_max_median,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,ours,20260915-061546,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b4_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=-1.6%
4,K2,ours12_dispatch,1+2 + expert dispatch (re-solve every iteration no expert movement),16,15.31,15.31,iter_max_mean,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,ours,20260915-061546,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b16_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=-0.2%
4,K2,ours12_dispatch,1+2 + expert dispatch (re-solve every iteration no expert movement),64,46.653,46.65,iter_max_median,ours_l01_s2_swap_force_p2p_r2,ours,20260829-035236_perlmutter_204f1378,ours_l01_s2_swap_force_p2p_r2_trace-610042_b64_k8_isolated,main,044aaf804,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
8,Qwen,nvshmem_gemm,Torch a2av (not ag) + GEMM,1,9.023,9.02,iter_max_mean,l01_nvshmem,nvshmem,20260831-052158_perlmutter_5164ccb8,l01_nvshmem_trace-a2e8ab_b1_k8_isolated,main,e270e40ec,label_torch_a2av_is_l01_nvshmem
8,Qwen,nvshmem_gemm,Torch a2av (not ag) + GEMM,2,12.052,12.05,iter_max_mean,l01_nvshmem,nvshmem,20260831-052158_perlmutter_5164ccb8,l01_nvshmem_trace-a2e8ab_b2_k8_isolated,main,e270e40ec,label_torch_a2av_is_l01_nvshmem
8,Qwen,nvshmem_gemm,Torch a2av (not ag) + GEMM,4,17.603,17.6,iter_max_mean,l01_nvshmem,nvshmem,20260831-052158_perlmutter_5164ccb8,l01_nvshmem_trace-a2e8ab_b4_k8_isolated,main,e270e40ec,label_torch_a2av_is_l01_nvshmem
8,Qwen,nvshmem_gemm,Torch a2av (not ag) + GEMM,16,52.817,52.82,iter_max_mean,l01_nvshmem,nvshmem,20260831-052158_perlmutter_5164ccb8,l01_nvshmem_trace-a2e8ab_b16_k8_isolated,main,e270e40ec,label_torch_a2av_is_l01_nvshmem
8,Qwen,nvshmem_gemm,Torch a2av (not ag) + GEMM,64,191.407,191.41,iter_max_mean,l01_nvshmem,nvshmem,20260831-052158_perlmutter_5164ccb8,l01_nvshmem_trace-a2e8ab_b64_k8_isolated,main,e270e40ec,label_torch_a2av_is_l01_nvshmem
